ID;cement;class;grade;blast_furnace_slag;fly_ash;water;superplasticizer;coarse_aggregate;fine_aggregate;age;concrete_compressive_strength
38;332.5;2;moderate;142.5;0;228;0;932;594;90;37.72
39;475;3;fair;0;0;228;0;932;594;90;42.23
40;237.5;3;good;237.5;0;228;0;932;594;180;36.25
41;342;1;moderate;38;0;228;0;932;670;90;50.46
42;427.5;1;fair;47.5;0;228;0;932;594;365;43.7
43;237.5;2;good;237.5;0;228;0;932;594;365;39
44;380;2;moderate;0;0;228;0;932;670;180;53.1
45;427.5;3;fair;47.5;0;228;0;932;594;90;41.54
46;427.5;3;good;47.5;0;228;0;932;594;7;35.08
47;349;1;moderate;0;0;192;0;1047;806.9;3;15.05
48;380;1;fair;95;0;228;0;932;594;180;40.76
49;237.5;2;good;237.5;0;228;0;932;594;7;26.26
50;380;2;moderate;95;0;228;0;932;594;7;32.82
51;332.5;3;fair;142.5;0;228;0;932;594;180;39.78
52;190;3;good;190;0;228;0;932;670;180;46.93
53;237.5;1;moderate;237.5;0;228;0;932;594;90;33.12
54;304;1;fair;76;0;228;0;932;670;90;49.19
55;139.6;2;good;209.4;0;192;0;1047;806.9;7;14.59
56;198.6;2;moderate;132.4;0;192;0;978.4;825.5;7;14.64
57;475;3;fair;0;0;228;0;932;594;365;41.93
58;198.6;3;good;132.4;0;192;0;978.4;825.5;3;9.13
59;304;1;moderate;76;0;228;0;932;670;180;50.95
60;332.5;1;fair;142.5;0;228;0;932;594;28;33.02
61;304;2;good;76;0;228;0;932;670;270;54.38
62;266;2;moderate;114;0;228;0;932;670;270;51.73
63;310;3;fair;0;0;192;0;971;850.6;3;9.87
64;190;3;good;190;0;228;0;932;670;270;50.66
65;266;1;moderate;114;0;228;0;932;670;180;48.7
66;342;1;fair;38;0;228;0;932;670;270;55.06
67;139.6;2;good;209.4;0;192;0;1047;806.9;360;44.7
68;332.5;2;moderate;142.5;0;228;0;932;594;7;30.28
69;190;3;fair;190;0;228;0;932;670;28;40.86
70;485;3;good;0;0;146;0;1120;800;28;71.99
71;374;1;moderate;189.2;0;170.1;10.1;926.1;756.7;3;34.4
72;313.3;1;fair;262.2;0;175.5;8.6;1046.9;611.8;3;28.8
73;425;2;good;106.3;0;153.5;16.5;852.1;887.1;3;33.4
74;425;2;moderate;106.3;0;151.4;18.6;936;803.7;3;36.3
75;375;3;fair;93.8;0;126.6;23.4;852.1;992.6;3;29
76;475;3;good;118.8;0;181.1;8.9;852.1;781.5;3;37.8
77;469;1;moderate;117.2;0;137.8;32.2;852.1;840.5;3;40.2
78;425;1;fair;106.3;0;153.5;16.5;852.1;887.1;3;33.4
79;388.6;2;good;97.1;0;157.9;12.1;852.1;925.7;3;28.1
80;531.3;2;moderate;0;0;141.8;28.2;852.1;893.7;3;41.3
81;425;3;fair;106.3;0;153.5;16.5;852.1;887.1;3;33.4
82;318.8;3;good;212.5;0;155.7;14.3;852.1;880.4;3;25.2
83;401.8;1;moderate;94.7;0;147.4;11.4;946.8;852.1;3;41.1
84;362.6;1;fair;189;0;164.9;11.6;944.7;755.8;3;35.3
85;323.7;2;good;282.8;0;183.8;10.3;942.7;659.9;3;28.3
86;379.5;2;moderate;151.2;0;153.9;15.9;1134.3;605;3;28.6
87;362.6;3;fair;189;0;164.9;11.6;944.7;755.8;3;35.3
88;286.3;3;good;200.9;0;144.7;11.2;1004.6;803.7;3;24.4
89;362.6;1;moderate;189;0;164.9;11.6;944.7;755.8;3;35.3
90;439;1;fair;177;0;186;11.1;884.9;707.9;3;39.3
91;389.9;2;good;189;0;145.9;22;944.7;755.8;3;40.6
92;362.6;2;moderate;189;0;164.9;11.6;944.7;755.8;3;35.3
93;337.9;3;fair;189;0;174.9;9.5;944.7;755.8;3;24.1
94;374;3;good;189.2;0;170.1;10.1;926.1;756.7;7;46.2
95;313.3;1;moderate;262.2;0;175.5;8.6;1046.9;611.8;7;42.8
96;425;1;fair;106.3;0;153.5;16.5;852.1;887.1;7;49.2
97;425;2;good;106.3;0;151.4;18.6;936;803.7;7;46.8
98;375;2;moderate;93.8;0;126.6;23.4;852.1;992.6;7;45.7
99;475;3;fair;118.8;0;181.1;8.9;852.1;781.5;7;55.6
100;469;3;good;117.2;0;137.8;32.2;852.1;840.5;7;54.9
